StartDate,ShiftID,CashEarnings,CreditEarnings,GasExpense,TollExpense,STSRH,IMSRH,CashTrips,CreditTrips
9/1/2016,4,64.98,220.00,15.00,0.00,9.50,5.70,4,14
9/2/2016,4,98.75,241.20,19.00,0.00,12.00,7.20,8,16
9/15/2016,4,246.88,84.05,24.00,11.08,7.50,4.50,6,6
9/16/2016,4,110.74,251.88,15.00,5.54,9.00,5.40,4,14
9/22/2016,4,18.60,307.29,17.00,5.54,9.50,5.70,2,17
9/23/2016,4,73.20,313.65,15.00,5.54,12.00,7.20,4,20
9/28/2016,4,59.00,312.60,15.00,10.05,10.00,6.30,5,16
10/5/2016,4,104.50,230.31,15.00,0.00,13.00,7.80,10,16
10/13/2016,4,95.00,235.91,15.25,0.00,15.00,9.00,10,15
10/14/2016,4,154.74,184.55,15.20,5.54,10.50,6.30,9,12
